workerid,proliferate.condition,age,comprehension_1_repeats,comprehension_2_repeats,ethnicity,feedback,gender,race,time,error
1783,condition 1,34,1,3,Non-Hispanic,I believe that the time at which the driver decided to allow the AI system to take control most certainly influenced how I decided to respond during the experiments. ,Male,Black/African American,1564165,
1759,condition 1,32,1,1,Non-Hispanic,A lot of my consideration came down to whether the driver made a reasonable decision when considering both the path of driving and whether to give AI the control to drive.  ,Female,Multiracial,1560542,
1788,condition 1,39,2,1,Non-Hispanic,If it was no ones fault I faulted no one.  If it was AIs fault I faulted mostly AI but also J for using the AI.,Male,White,2513439,
1778,condition 1,53,1,2,Non-Hispanic,"If there were road closures, the driver knew ahead of time but the AI didn't so it would be the driver's fault if they did not take over for the AI when they could have. Accidents reduced both parties responsibility.",Female,Asian,1112189,
1825,condition 1,22,2,1,Non-Hispanic,i responded depending on who was in control of the car.,Female,White,767831,
1794,condition 1,39,1,1,Non-Hispanic,"The AI not knowing about road closures is a huge programming flaw, so if the AI hit a road closure, it was partly the AI's fault, but mostly the human's because they should have known about the design flaw.",Female,White,981469,
1820,condition 1,32,2,4,Hispanic,The driver's knowledge of roadblocks ahead of time and unforeseeable accidents that were neither the driver nor AI's fault,Female,White,1030147,
1774,condition 1,26,3,1,Non-Hispanic,For me the human is always primarily responsible whether they drive the whole time or none of it because ultimately they make that choice.  ,Female,White,828728,
1750,condition 1,42,1,1,Non-Hispanic,I based my decision on what the person or the AI should have known ahead of time and if they took that into consideration or not. ,Female,White,789757,
1822,condition 1,24,1,4,Non-Hispanic,,Female,White,728383,
1796,condition 1,30,1,4,Hispanic,,Male,White,1065224,
1800,condition 1,40,1,1,Non-Hispanic,"I considered several factors when determining whether the driver or AI was responsible for being late, such as whether the driver/AI took the wrong route, whether the driver/AI switched, and whether it was even possible to reach the end.",Male,White,1532460,
1801,condition 1,30,2,1,Non-Hispanic,"Car accidents influenced my decision, as well as traffic. ",Female,White,1242658,
1803,condition 1,53,2,1,Non-Hispanic,,Female,White,1992843,
1752,condition 1,33,3,1,Non-Hispanic,I felt like it was generally the drivers responsibility since they were aware of the AIs capabilities unless the delay was a result of the random crash.,Male,White,1035524,
1793,condition 1,34,1,1,Non-Hispanic,i took into account what each knew before agreeing to take over or continue on.,Female,White,2086628,
1749,condition 1,40,1,1,Non-Hispanic,who was driving the car for the majority of the time.,Female,White,716876,
1814,condition 1,59,2,3,,The experiment is not at all realistic. The way it allows a human to permit the AI to go in a direction with a road closure that the human knows about is the same as saying the human will knowingly chose a route with a known closure. ,Male,White,3658154,
1755,condition 1,50,1,2,Non-Hispanic,"If the drivers knew about the road closures and let the AI take over and go that way anyway, I thought it was more the drivers fault. Accidents were no ones fault. And sometimes there was heavy traffic no matter what route they took so that was no ones fault either",Female,White,1623728,
1772,condition 1,21,1,2,Hispanic,,Female,White,835965,
1763,condition 1,43,2,1,Non-Hispanic,"When the road map had a traffic jam or road block for all routes to the workplace, I didn't blame either much if all, as no route could possibly get the driver to work on time. If the AI drove and hit a road block that the driver should have known, then I blamed the driver more especially leaving AI to drive. But if driver chose to  continue driving with no road blocks then driver more at fault. I forget whatever condition there was. Definitely with a car accident, neither can be blamed. My ratings may not be consistent, as I was still settling on criteria for who was more to blame. Typically I think the driver is more to blame for mere fact s/he could decide to change which controls the driving. ",Female,Asian,1993487,
1812,condition 1,48,5,1,Non-Hispanic,who had control of the car the longest,Male,Black/African American,1881506,
1761,condition 1,43,1,1,Non-Hispanic,It was hard to decide. If there was traffic the driver kind of new the spots so they should given themselves more time so although they didn't cause the traffic they were kind of responsible. An accident is unpredictable,Male,White,935650,
1743,condition 1,36,1,1,Non-Hispanic,"Ultimately, the driver made the final decision on choosing to let the AI drive or not.",Female,White,1076375,
1799,condition 1,30,1,1,Non-Hispanic,"I feel the human needs to drive if they know about a road closure. There were a few with accidents that I answered mid level responsibility for both human and AI, this should have been no responsibility for either human or AI. ",Female,White,1411275,
1798,condition 1,63,1,1,Non-Hispanic,I tried to see who could anticipate what and how they used that information to decide who dropped the ball in each case. No question or comment.,Female,White,1135710,
1804,condition 1,26,1,2,Non-Hispanic,"I took into account whether or not the AI could know about the traffic obstruction or not, or whether the real person driver could know when there was an obstruction too. I also took into account if the AI took over or whether the real driver took over.",Female,White,1458696,
1780,condition 1,46,1,2,Non-Hispanic,"If the driver let AI control the car knowing their could be an accident up ahead, I blame the driver.
Accident's I blamed neither for",Male,White,838825,
1782,condition 1,23,1,1,Hispanic,Whether or not ai or human knew about current traffic delays,Male,Multiracial,1266946,
1781,condition 1,24,1,1,Non-Hispanic,"The driver was sometimes still at fault when the AI was driving because they probably should have known that the AI didn't know about the road blocks that they did know about. Also, there were some routes where they were never going to make it on time, so it lessened the blame.",Female,Multiracial,968391,
1806,condition 1,41,2,1,Non-Hispanic,accidents that changed the outcome were neither party's fault. Construction information that the driver could have had before leaving even if the AI started in control always becomes the driver's fault. ,Male,White,928077,
1771,condition 1,28,12,3,Non-Hispanic,,Male,White,1629546,
1807,condition 1,24,2,2,Non-Hispanic,n/a,Male,White,952201,
1766,condition 1,41,2,2,Non-Hispanic,I generally paid attention to if the driver would have been able to avoid being late based on the information they knew. If there were accidents then neither the driver or the AI could be at fault for being late.,Female,White,1008681,
1824,condition 1,30,2,3,,,Female,White,533835,
1768,condition 1,61,5,1,,"In all cases it is the fault of the human as they are the decision maker, not the AI.  Humans know that traffic jams and accidents can and will happen and they need to be responsible for getting to work on time",Female,White,1029279,
1819,condition 1,23,1,2,Non-Hispanic,Which road feature caused her to be late and the knowledge of the road features such as when she decided to let the AI drive when there was a road closure even though she should have known that there was a road closure. I would also blame the AI for not knowing there was road closure even if it didn't know by design. I blamed neither when there was an accident because neither would know about it.,Female,Asian,867358,
1785,condition 1,34,2,1,Non-Hispanic,,Female,White,662789,
1775,condition 1,36,1,2,Non-Hispanic,"If there was an accident then it really wasn't the fault of either party, but if there was knowledge the woman had that the ai didn't (road closure) and she still accepted to let the ai take over, then it's her fault.",Male,White,1104449,
1808,condition 1,34,1,1,Non-Hispanic,"I considered based on what information the AI or Human should know about the route. For instance, if the human knew there was a roadblock ahead (but the AI didn't because it can't) but the human let the AI take over, or continue in that direction, then it is the humans fault",Female,White,972097,
1776,condition 1,56,1,1,Non-Hispanic,"I gave more responsibility to the driver that drives most of the way to work. I also considered the driver's decision to let the AI take over or not, or wise versa. ",Male,White,1886288,
1786,condition 1,39,5,2,Non-Hispanic,"If it was traffic or an accident, I was influenced to answer that it wasn't really anyone's fault.",Female,White,1114756,
1817,condition 1,34,1,1,Hispanic,"It is all dependent on who knew what knowledge about the closures and traffic, and where the decisions were made.",Male,White,933127,
1797,condition 1,33,2,2,Non-Hispanic,Neither her nor the AI are responsible for things they cannot foresee like accidents. She knows about the road closures so her allowing the AI to take those paths are her fault. She knows the AI knows how about which red squares have traffic congestion and she does not so she should give let the AI deal with that. If she does not give over driving decisions through potentially congested area to the AI it's her own fault.   ,Male,White,1134652,
1745,condition 1,50,3,2,Non-Hispanic,no,Female,Asian,1824438,
1751,condition 1,70,4,5,Non-Hispanic,I felt that the driver's decision was also responsible if the AI made the wrong decision because she should have known about barricades. Why let the AI drive if you knew barricades could cause a problem. This feeling caused me to have to read instructions several times to pass the quiz.,Female,White,2050540,
